minute,simulated_time_s,avg_latency_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,p99_9_latency_ms,throughput_tflops,throughput_tokens_sec,gpu_temp_c,power_draw_w,gpu_util_pct,vram_allocated_mb,vram_used_mb,max_int64_drift,grid_gco2_kwh
1,60,1.052,0.415,0.489,0.538,117.818,1.02,973159.1,71.0,54.33,17.0,28.12,341.0,0.0,52.6
2,120,0.45,0.418,0.476,0.907,3.325,2.38,2273458.4,72.0,37.83,33.0,28.12,341.0,0.0,53.2
3,180,0.415,0.413,0.444,0.487,0.611,2.59,2470013.6,72.0,53.06,43.0,28.12,341.0,0.0,53.9
4,240,0.413,0.4,0.472,0.518,0.723,2.6,2479669.4,72.0,36.27,0.0,28.12,341.0,0.0,54.4
5,300,0.385,0.379,0.41,0.466,0.614,2.79,2660839.4,72.0,58.03,16.0,28.12,341.0,0.0,55.0
6,360,0.384,0.373,0.411,0.464,0.62,2.8,2668685.8,72.0,37.65,0.0,28.12,341.0,0.0,55.5
7,420,0.384,0.38,0.406,0.45,0.596,2.79,2664466.3,72.0,56.56,15.0,28.12,341.0,0.0,56.0
8,480,0.409,0.398,0.466,0.527,0.567,2.62,2502249.7,72.0,53.12,38.0,28.12,341.0,0.0,56.5
9,540,0.411,0.41,0.438,0.467,0.626,2.61,2489857.8,72.0,57.01,2.0,28.12,341.0,0.0,56.9
10,600,0.389,0.38,0.412,0.469,0.553,2.76,2632117.0,72.0,55.84,3.0,28.12,341.0,0.0,57.2
11,660,0.404,0.385,0.425,0.493,2.312,2.66,2535175.9,72.0,35.19,0.0,28.12,341.0,0.0,57.5
12,720,0.394,0.384,0.438,0.492,0.65,2.72,2597017.6,72.0,56.99,14.0,28.12,341.0,0.0,57.7
13,780,0.412,0.401,0.462,0.547,1.382,2.61,2485636.8,72.0,56.13,37.0,28.12,341.0,0.0,57.9
14,840,0.39,0.38,0.422,0.482,0.61,2.76,2628880.5,72.0,55.87,3.0,28.12,341.0,0.0,58.0
15,900,0.404,0.386,0.426,0.591,2.772,2.65,2531750.2,72.0,55.08,3.0,28.12,341.0,0.0,58.0
16,960,0.406,0.397,0.461,0.502,0.632,2.65,2523167.2,72.0,40.64,0.0,28.12,341.0,0.0,58.0
17,1020,0.379,0.369,0.407,0.463,0.574,2.83,2700318.8,72.0,58.26,10.0,28.12,341.0,0.0,57.9
18,1080,0.385,0.386,0.409,0.449,0.549,2.79,2658535.9,72.0,55.87,35.0,28.12,341.0,0.0,57.7
19,1140,0.412,0.384,0.423,0.542,3.441,2.61,2485097.1,72.0,54.56,5.0,28.12,341.0,0.0,57.5
20,1200,0.384,0.386,0.407,0.443,0.548,2.79,2663908.1,72.0,55.31,0.0,28.12,341.0,0.0,57.2
21,1260,0.417,0.415,0.45,0.486,0.595,2.58,2458440.2,72.0,54.56,0.0,28.12,341.0,0.0,56.9
22,1320,0.412,0.379,0.415,0.574,3.398,2.6,2483150.7,72.0,57.9,0.0,28.12,341.0,0.0,56.5
23,1380,0.383,0.376,0.407,0.447,0.569,2.81,2675467.0,72.0,47.28,24.0,28.12,341.0,0.0,56.0
24,1440,0.434,0.396,0.475,0.602,3.582,2.48,2360598.1,72.0,54.0,41.0,28.12,341.0,0.0,55.5
25,1500,0.417,0.373,0.458,0.78,3.403,2.57,2455289.8,72.0,48.59,0.0,28.12,341.0,0.0,55.0
26,1560,0.387,0.385,0.416,0.459,0.552,2.77,2644483.5,72.0,57.84,40.0,28.12,341.0,0.0,54.4
27,1620,0.391,0.377,0.417,0.497,1.936,2.75,2617999.7,73.0,40.88,0.0,28.12,341.0,0.0,53.9
28,1680,0.398,0.383,0.42,0.49,2.678,2.7,2572797.1,73.0,57.51,8.0,28.12,341.0,0.0,53.2
29,1740,0.389,0.386,0.424,0.498,0.59,2.76,2631723.8,73.0,55.9,34.0,28.12,341.0,0.0,52.6
30,1800,0.407,0.397,0.439,0.51,0.58,2.64,2517295.8,73.0,55.48,6.0,28.12,341.0,0.0,52.0
31,1860,0.399,0.397,0.428,0.475,0.549,2.69,2569589.7,73.0,56.0,41.0,28.12,341.0,0.0,51.4
32,1920,0.383,0.383,0.406,0.436,0.557,2.8,2670916.7,73.0,53.87,0.0,28.12,341.0,0.0,50.8
33,1980,0.395,0.38,0.416,0.46,2.606,2.72,2594893.2,73.0,57.7,19.0,28.12,341.0,0.0,50.1
34,2040,0.387,0.384,0.414,0.449,0.651,2.78,2646781.5,73.0,57.18,40.0,28.12,341.0,0.0,49.6
35,2100,0.397,0.38,0.459,0.537,0.849,2.71,2580886.8,73.0,37.75,0.0,28.12,341.0,0.0,49.0
36,2160,0.38,0.373,0.406,0.439,0.585,2.83,2698260.5,73.0,54.85,0.0,28.12,341.0,0.0,48.5
37,2220,0.397,0.386,0.439,0.495,0.791,2.7,2576339.6,73.0,58.66,4.0,28.12,341.0,0.0,48.0
38,2280,0.422,0.412,0.471,0.517,0.797,2.55,2428645.8,73.0,38.81,28.0,28.12,341.0,0.0,47.5
39,2340,0.406,0.401,0.432,0.474,0.594,2.65,2524476.9,73.0,55.21,43.0,28.12,341.0,0.0,47.1
40,2400,0.41,0.4,0.473,0.516,0.835,2.62,2497139.7,73.0,52.37,0.0,28.12,341.0,0.0,46.8
41,2460,0.38,0.368,0.417,0.462,0.543,2.83,2697985.6,73.0,37.43,0.0,28.12,341.0,0.0,46.5
42,2520,0.385,0.376,0.423,0.466,0.567,2.79,2661122.6,73.0,56.78,11.0,28.12,341.0,0.0,46.3
43,2580,0.402,0.391,0.459,0.543,0.739,2.67,2547370.1,73.0,55.84,34.0,28.12,341.0,0.0,46.1
44,2640,0.376,0.368,0.4,0.445,0.557,2.86,2726912.9,73.0,59.08,6.0,28.12,341.0,0.0,46.0
45,2700,0.394,0.386,0.456,0.504,0.582,2.73,2602055.0,73.0,54.69,5.0,28.12,341.0,0.0,46.0
46,2760,0.401,0.392,0.435,0.491,0.582,2.68,2552949.5,73.0,55.44,1.0,28.12,341.0,0.0,46.0
47,2820,0.416,0.408,0.473,0.526,0.819,2.58,2460601.7,73.0,46.3,23.0,28.12,341.0,0.0,46.1
48,2880,0.391,0.383,0.415,0.479,0.615,2.74,2617067.3,73.0,57.05,42.0,28.12,341.0,0.0,46.3
49,2940,0.379,0.372,0.402,0.446,0.601,2.83,2701260.4,73.0,34.12,0.0,28.12,341.0,0.0,46.5
50,3000,0.398,0.388,0.45,0.51,0.565,2.7,2571405.2,73.0,54.95,17.0,28.12,341.0,0.0,46.8
51,3060,0.379,0.368,0.411,0.444,0.595,2.84,2705035.5,73.0,56.39,10.0,28.12,341.0,0.0,47.1
52,3120,0.385,0.375,0.408,0.53,0.692,2.79,2659424.2,73.0,56.13,35.0,28.12,341.0,0.0,47.5
53,3180,0.389,0.382,0.426,0.473,0.636,2.76,2632266.7,73.0,50.27,5.0,28.12,341.0,0.0,48.0
54,3240,0.391,0.38,0.443,0.51,0.604,2.74,2616461.3,73.0,55.67,6.0,28.12,341.0,0.0,48.5
55,3300,0.376,0.367,0.402,0.432,0.535,2.86,2724812.9,73.0,34.42,32.0,28.12,341.0,0.0,49.0
56,3360,0.401,0.369,0.404,0.535,3.393,2.68,2554042.8,73.0,49.77,22.0,28.12,341.0,0.0,49.6
57,3420,0.372,0.364,0.395,0.417,0.541,2.89,2754934.0,73.0,58.29,40.0,28.12,341.0,0.0,50.1
58,3480,0.39,0.383,0.42,0.451,0.567,2.75,2623512.8,73.0,53.51,0.0,28.12,341.0,0.0,50.8
59,3540,0.405,0.392,0.421,0.492,2.712,2.65,2529660.0,73.0,59.94,16.0,28.12,341.0,0.0,51.4
60,3600,0.411,0.375,0.422,0.559,3.671,2.61,2492973.0,73.0,53.71,41.0,28.12,341.0,0.0,52.0
